# J_A_per_cm2,V_cell_V (Mirai II FCB130 representative polarization data, reconstructed from [17])
0.0100,0.9759
0.0117,0.9684
0.0138,0.9703
0.0162,0.9674
0.0190,0.9553
0.0222,0.9526
0.0261,0.9517
0.0306,0.9451
0.0360,0.9408
0.0422,0.9330
0.0495,0.9330
0.0581,0.9258
0.0682,0.9168
0.0800,0.9130
0.0939,0.9041
0.1101,0.8908
0.1292,0.8836
0.1517,0.8711
0.1780,0.8697
0.2088,0.8596
0.2450,0.8509
0.2876,0.8411
0.3374,0.8385
0.3959,0.8261
0.4646,0.8145
0.5452,0.8039
0.6398,0.7957
0.7507,0.7826
0.8810,0.7680
1.0337,0.7528
1.2130,0.7408
1.4234,0.7144
1.6703,0.6936
1.9600,0.6683
2.3000,0.6088
